,Time,Open,High,Low,Close,Volume
0,1684022400,26581.52,27221.51,26786.99,26920.81,3327.6662792
1,1683936000,26700.0,27060.24,26808.8,26789.48,4782.64422745
2,1683849600,25810.0,27099.21,26986.79,26808.84,18458.49543497
3,1683763200,26702.0,27649.85,27621.5,26986.56,13438.74631738
4,1683676800,26800.0,28334.75,27647.29,27624.01,18590.96989908
5,1683590400,27367.01,27833.64,27693.24,27647.29,8888.42683618
6,1683504000,27279.66,28676.38,28472.68,27695.06,15859.41839592
7,1683417600,28429.12,29189.71,28901.3,28474.53,5884.67007423
8,1683331200,28394.0,29850.0,29538.87,28902.66,8546.79874854
9,1683244800,28810.0,29706.57,28857.88,29536.76,14691.1261171
10,1683158400,28674.58,29383.5,29039.36,28857.23,10407.16067489
11,1683072000,28122.0,29276.12,28683.41,29038.75,15588.83462733
12,1682985600,27871.44,28899.99,28077.44,28684.4,13258.60505694
13,1682899200,27664.31,29348.6,29240.49,28077.27,17953.11670042
14,1682812800,29095.92,29969.99,29249.24,29247.14,6837.06831371
15,1682726400,29057.3,29470.0,29339.47,29249.35,4909.72717806
16,1682640000,28900.0,29606.45,29486.97,29338.63,14184.03938836
17,1682553600,28387.07,29900.0,28428.86,29483.72,24310.36359778
18,1682467200,27230.77,30050.66,28304.42,28426.08,31636.39150463
19,1682380800,27194.51,28400.0,27513.85,28304.42,12013.57991051
20,1682294400,26965.14,28000.0,27592.7,27515.05,12258.59093046
21,1682208000,27333.2,27820.99,27820.99,27592.98,6255.76778325
22,1682121600,27133.0,27887.78,27252.96,27821.41,7556.85769964
23,1682035200,27133.0,28371.88,28248.18,27253.85,19665.99126045
24,1681948800,27991.32,29102.69,28809.71,28248.18,17007.31210311
25,1681862400,28595.28,30430.72,30394.5,28809.72,20951.87851572
26,1681776000,29103.89,30500.0,29449.91,30393.4,12649.52217446
27,1681689600,29251.71,30340.21,30321.41,29449.91,13418.0380446
28,1681603200,30148.28,30572.1,30325.07,30326.09,6230.24911461
29,1681516800,30231.76,30622.38,30492.91,30324.11,5486.7222394
30,1681430400,30000.0,31050.0,30410.03,30492.92,19793.55777592
31,1681344000,29878.08,30627.05,29912.2,30406.78,12505.27274115
32,1681257600,29675.0,30517.0,30227.18,29912.2,14961.08403219
33,1681171200,29612.3,30584.58,29657.7,30227.19,18637.22157812
34,1681084800,28162.49,29794.47,28342.28,29660.41,15752.30418782
35,1680998400,27814.0,28547.67,27958.19,28340.99,6136.4286229
36,1680912000,27881.01,28175.89,27930.12,27958.81,3854.33490363
37,1680825600,27790.21,28120.71,28052.74,27931.94,5847.77200458
38,1680739200,27716.77,28199.11,28175.27,28053.46,10291.78500534
39,1680652800,27817.32,28799.99,28178.66,28175.37,15066.72449529
40,1680566400,27670.24,28450.0,27809.55,28179.64,13261.95025317
41,1680480000,27227.61,28525.0,28188.34,27811.77,16192.03702141
42,1680393600,27862.69,28544.21,28471.03,28188.34,6707.97702984
43,1680307200,28223.76,28826.45,28475.41,28471.46,6988.04239657
44,1680220800,27512.97,28650.2,28034.88,28474.4,18917.3621471
45,1680134400,27693.7,29190.04,28359.54,28035.48,20972.43924037
46,1680048000,27255.42,28654.06,27274.18,28359.54,17710.8595857
47,1679961600,26640.0,27519.99,27142.85,27274.15,14103.92919115
48,1679875200,26525.0,28053.26,27995.27,27142.87,17268.16335715
49,1679788800,27445.04,28230.32,27489.56,27992.9,9800.64299441
50,1679702400,27184.78,27818.67,27489.24,27488.18,9655.9494554
51,1679616000,27027.88,28433.34,28352.95,27489.24,22190.91292623
52,1679529600,27189.19,28839.68,27324.05,28352.94,26698.29660165
53,1679443200,26678.16,28937.73,28201.22,27325.15,33974.43697526
54,1679356800,27414.77,28605.32,27822.85,28207.33,16193.18924882
55,1679270400,27218.36,28578.63,28058.15,27823.32,23782.6567676
56,1679184000,26904.0,28478.0,26980.35,28054.46,16897.41761964
57,1679097600,26652.45,27780.0,27453.75,26980.35,18096.24372219
58,1679011200,24946.86,27834.54,25052.11,27453.62,40752.19373629
59,1678924800,24207.54,25235.28,24377.16,25051.85,20754.42573365
60,1678838400,23931.01,25300.0,24761.61,24377.16,30128.4276161
61,1678752000,24052.0,26553.9,24220.0,24762.65,44100.36444555
62,1678665600,21882.63,24710.0,22216.02,24220.0,38654.82408388
63,1678579200,20446.24,22276.69,20619.34,22219.08,19165.53317335
64,1678492800,19900.5,20964.5,20230.07,20620.54,18920.85100043
65,1678406400,19568.52,20369.78,20366.97,20230.08,32126.59207482
66,1678320000,20050.0,21825.53,21699.41,20367.01,21326.08097071
67,1678233600,21580.84,22281.55,22198.09,21698.37,13343.72575834
68,1678147200,21932.74,22557.03,22410.13,22198.48,10381.24422759
69,1678060800,22264.73,22599.99,22431.99,22410.31,10660.04864303
70,1677974400,22195.13,22654.64,22349.74,22432.69,5291.96467583
71,1677888000,22150.71,22409.82,22358.18,22350.95,2266.21497947
72,1677801600,21988.02,23477.28,23468.79,22358.18,21715.09355721
73,1677715200,23196.09,23798.62,23632.12,23468.24,9239.93644458
74,1677628800,23025.17,23999.99,23144.37,23631.52,12151.84539817
75,1677542400,23027.24,23597.98,23490.01,23145.32,9516.02766667
76,1677456000,23109.06,23895.51,23556.83,23489.52,12098.67253518
77,1677369600,23052.78,23689.77,23159.71,23556.83,6063.45918348
78,1677283200,22716.47,23220.56,23186.88,23159.71,5937.43847794
79,1677196800,22520.0,24132.67,23943.32,23186.88,20933.97488913
80,1677110400,23612.59,24600.95,24184.9,23943.32,16847.70433307
81,1677024000,23581.64,24480.0,24454.08,24184.44,17390.31077874
82,1676937600,24153.96,25288.88,24844.21,24454.43,16495.25564236
83,1676851200,23841.08,25128.11,24278.81,24844.97,13977.17943437
84,1676764800,24192.7,25200.0,24635.85,24281.31,9733.21021005
85,1676678400,24407.67,24879.33,24577.6,24636.23,6191.17379627
86,1676592000,23344.12,25025.0,23516.95,24577.6,22795.35234631
87,1676505600,23510.73,25256.83,24326.95,23516.15,30034.93494269
88,1676419200,22054.17,24386.5,22206.26,24329.04,23427.35072192
89,1676332800,21545.67,22331.76,21789.0,22206.27,14879.72784164
90,1676246400,21366.45,21903.03,21789.79,21789.14,13246.3049252
91,1676160000,21631.0,22091.88,21863.73,21789.8,5990.68642903
92,1676073600,21605.35,21904.0,21628.97,21863.73,4695.91143894
93,1675987200,21467.43,21942.41,21800.62,21628.97,12641.59512641
94,1675900800,21700.0,23011.18,22963.91,21800.63,19277.239648
95,1675814400,22669.09,23451.01,23244.64,22964.38,7693.59195866
96,1675728000,22748.11,23348.73,22763.42,23244.67,9803.34759825
97,1675641600,22637.51,23163.05,22936.34,22764.07,12149.94486314
98,1675555200,22758.01,23433.2,23329.47,22936.34,6574.34533251
99,1675468800,23257.71,23589.67,23433.47,23328.87,3567.13007478
100,1675382400,23208.01,23720.0,23497.29,23433.54,14215.66842983
101,1675296000,23367.87,24262.18,23735.97,23493.84,16368.92138269
102,1675209600,22760.0,23813.57,23127.15,23735.97,20292.22416962
103,1675123200,22719.68,23313.23,22836.03,23128.86,22721.77475761
104,1675036800,22500.0,23802.99,23744.34,22836.03,34312.28644397
105,1674950400,22974.75,23966.0,23029.56,23745.8,20952.76361397
106,1674864000,22884.0,23196.99,23084.38,23028.95,7466.33930339
107,1674777600,22540.76,23511.9,23011.37,23084.4,27185.13487749
108,1674691200,22853.61,23287.38,23062.36,23010.47,30187.01702655
109,1674604800,22326.24,23824.66,22636.19,23062.36,38496.91631901
110,1674518400,22460.17,23165.56,22920.67,22636.17,39180.10567306
111,1674432000,22500.01,23180.55,22714.81,22920.29,32380.77464386
112,1674345600,22298.15,23082.82,22789.34,22714.87,25548.28914044
113,1674259200,22432.45,23375.6,22671.09,22789.37,32657.60500465
114,1674172800,20865.64,22754.73,21084.05,22669.81,32810.59587882
115,1674086400,20656.52,21197.0,20674.03,21084.22,23436.75404601
116,1674000000,20370.01,21650.21,21135.01,20674.29,34600.25647175
117,1673913600,20844.73,21595.0,21191.46,21136.33,32656.47978348
118,1673827200,20611.45,21465.62,20879.67,21187.5,41151.35428763
119,1673740800,20560.16,21057.3,20956.2,20879.7,25709.30241812
120,1673654400,19893.25,21321.98,19934.07,20957.02,58239.87328811
121,1673568000,18714.8,20000.0,18847.77,19934.88,55049.6223488
122,1673481600,17904.83,19115.85,17944.15,18847.75,61938.44269045
123,1673395200,17315.08,17998.0,17443.5,17944.27,27251.01602186
124,1673308800,17145.1,17494.37,17177.94,17443.5,24901.57485784
125,1673222400,17102.97,17396.25,17125.17,17177.98,33252.15435855
126,1673136000,16910.41,17167.52,16942.37,17125.18,9195.45985397
127,1673049600,16903.58,16977.76,16948.0,16942.37,5680.11799379
128,1672963200,16670.82,17027.11,16825.53,16948.06,24235.38704157
129,1672876800,16750.07,16872.13,16844.4,16825.69,14918.22913349
130,1672790400,16645.87,16988.0,16668.95,16844.42,25922.70680625
131,1672704000,16600.0,16772.3,16666.86,16669.47,17612.35527749
132,1672617600,16542.52,16789.99,16611.9,16666.95,13560.46017964
133,1672531200,16490.0,16621.0,16531.83,16611.58,10668.73697739
134,1672444800,16462.49,16634.42,16599.98,16530.35,15414.5294044
135,1672358400,16326.16,16649.99,16627.36,16600.1,26532.28003447
136,1672272000,16479.5,16654.81,16539.66,16627.54,20088.46487471
137,1672185600,16460.0,16777.35,16698.31,16539.66,23345.55126307
138,1672099200,16585.97,16967.0,16916.66,16698.73,17482.09318834
139,1672012800,16787.97,16939.81,16829.19,16917.96,8493.27661167
140,1671926400,16720.89,16853.88,16837.24,16829.02,7065.21656572
141,1671840000,16775.88,16863.62,16777.88,16837.12,9502.80320659
142,1671753600,16719.57,16943.29,16815.28,16777.21,21958.88697726
143,1671667200,16560.84,16868.82,16825.18,16815.51,21269.7673979
144,1671580800,16725.78,16926.05,16896.17,16826.56,16743.62189364
145,1671494400,16398.22,17060.86,16439.98,16897.65,34330.28235168
146,1671408000,16273.4,16822.84,16742.33,16439.74,26856.08598724
147,1671321600,16663.76,16875.0,16782.23,16741.16,11073.43886205
148,1671235200,16585.64,16799.99,16634.29,16782.25,18446.6836015
149,1671148800,16529.53,17525.0,17359.1,16632.64,47159.86300655
150,1671062400,17275.02,17856.26,17805.36,17357.96,37834.73808374
151,1670976000,17660.93,18385.36,17772.98,17804.97,49295.42072146
152,1670889600,17089.17,17999.99,17212.9,17773.18,38316.03172467
153,1670803200,16875.83,17244.63,17085.62,17211.66,20659.65709227
154,1670716800,17073.19,17271.92,17128.1,17085.21,9948.85267032
155,1670630400,17093.42,17227.64,17130.49,17128.1,7860.58687575
156,1670544000,17060.69,17352.62,17226.03,17130.59,20976.63699864
157,1670457600,16738.0,17300.59,16839.76,17226.01,23533.23453743
158,1670371200,16679.52,17140.22,17089.18,16840.0,22635.46848793
159,1670284800,16904.04,17111.35,16966.05,17089.05,26693.6101171
160,1670198400,16865.22,17424.59,17108.9,16966.05,33618.45109026
161,1670112000,16882.86,17199.99,16889.17,17108.9,16961.10828839
162,1670025600,16863.58,17158.42,17094.25,16888.53,14081.4506716
163,1669939200,16791.02,17108.25,16980.07,17094.71,23096.43686725
164,1669852800,16855.0,17317.8,17165.44,16980.08,31798.99151828
165,1669766400,16423.37,17259.37,16437.94,17167.33,42517.61172285
166,1669680000,16092.53,16541.72,16206.23,16438.0,21901.9847881
167,1669593600,15992.64,16478.32,16421.63,16206.3,30336.24756667
168,1669507200,16395.0,16589.43,16450.32,16419.88,10825.69525321
169,1669420800,16376.1,16693.18,16510.9,16450.93,12308.57070713
170,1669334400,16333.0,16610.08,16587.6,16510.9,20800.91157317
171,1669248000,16450.62,16797.28,16585.83,16587.61,21819.50497344
172,1669161600,16142.99,16700.0,16201.15,16587.0,37143.06609396
173,1669075200,15596.22,16294.5,15758.96,16199.71,44555.90690195
174,1668988800,15460.0,16279.99,16252.43,15760.14,43799.91803333
175,1668902400,16154.65,16733.19,16680.7,16252.53,16685.1909604
176,1668816000,16534.83,16802.0,16678.85,16683.02,9396.04770097
177,1668729600,16526.28,16984.08,16680.47,16680.59,26970.34405749
178,1668643200,16396.0,16736.7,16646.58,16680.47,22484.77507436
179,1668556800,16358.66,16994.31,16879.37,16645.24,37249.70414522
180,1668470400,16502.85,17107.88,16588.41,16877.93,48155.32053543
181,1668384000,15790.25,17169.68,16298.75,16590.73,55601.93469977
182,1668297600,16214.95,16926.57,16783.32,16301.39,23266.69734743
183,1668211200,16595.25,17067.7,17014.78,16783.33,23830.0578576
184,1668124800,16336.05,17641.32,17555.44,17013.62,64776.6547934
185,1668038400,15720.0,18140.62,15894.77,17553.89,91496.98548059
186,1667952000,15512.0,18590.34,18546.07,15891.96,119633.96194081
187,1667865600,17500.0,20675.0,20593.34,18550.25,84056.63082724
188,1667779200,20394.34,21069.46,20908.15,20593.49,25279.82916936
189,1667692800,20886.26,21365.89,21300.45,20909.17,10958.4932636
190,1667606400,21082.54,21478.8,21149.03,21300.45,14076.70487828
191,1667520000,20181.61,21298.76,20208.02,21144.2,42027.16281295
192,1667433600,20032.02,20390.82,20151.29,20206.88,26837.37211156
193,1667347200,20059.53,20805.0,20480.34,20151.4,43913.21904186
194,1667260800,20326.55,20691.0,20489.55,20479.63,21147.00854592
195,1667174400,20237.0,20837.68,20629.21,20489.94,22222.73611567
196,1667088000,20523.92,20939.35,20822.38,20630.68,13737.38848362
197,1667001600,20561.2,21080.0,20597.34,20823.53,19822.75126022
198,1666915200,20000.0,20755.09,20295.77,20597.91,29581.75150226
199,1666828800,20196.01,20878.17,20773.59,20296.97,34123.58255469
200,1666742400,20055.85,21022.81,20086.27,20775.4,43618.9919315
201,1666656000,19240.76,20420.88,19332.11,20086.28,42452.33701168
202,1666569600,19159.35,19603.57,19572.2,19330.41,29432.58356293
203,1666483200,19070.92,19698.1,19209.09,19572.44,12086.31175412
204,1666396800,19110.46,19257.66,19164.92,19209.1,7044.99034028
205,1666310400,18659.0,19254.52,19043.66,19166.45,24206.36088454
206,1666224000,18905.0,19349.04,19123.77,19042.48,28405.7559743
207,1666137600,19062.1,19361.0,19328.75,19124.18,22284.13292808
208,1666051200,19091.77,19702.73,19550.39,19328.76,27645.59742478
209,1665964800,19154.72,19679.46,19261.62,19550.4,24137.12482696
210,1665878400,19065.23,19425.49,19070.62,19264.44,8310.92834083
211,1665792000,18983.0,19229.12,19179.15,19070.24,9062.82835275
212,1665705600,19076.83,19954.14,19375.55,19178.0,46208.33260444
213,1665619200,18131.0,19509.23,19153.97,19378.65,49160.49651762
214,1665532800,18971.51,19235.26,19058.42,19155.92,24862.65344825
215,1665446400,18855.19,19265.69,19130.8,19058.11,36248.01909763
216,1665360000,19028.08,19528.04,19442.7,19132.83,26596.56843638
217,1665273600,19321.0,19563.28,19421.49,19443.47,12537.63788265
218,1665187200,19250.0,19628.78,19531.68,19419.39,9745.2545363
219,1665100800,19325.0,20065.26,19963.75,19533.05,34938.97272677
220,1665014400,19855.19,20455.79,20162.15,19965.64,44044.43606305
221,1664928000,19750.0,20371.15,20345.27,20161.62,33542.20736149
222,1664841600,19495.32,20479.43,19632.43,20345.19,32685.41637125
223,1664755200,18958.29,19717.67,19059.1,19633.46,28571.64018677
224,1664668800,18923.81,19398.94,19315.26,19059.17,12951.42404465
225,1664582400,19160.0,19486.43,19423.57,19315.27,7337.45595566
226,1664496000,19154.38,20182.72,19595.59,19426.11,34243.66392923
227,1664409600,18845.3,19646.66,19412.37,19595.57,34783.53737085
228,1664323200,18487.0,19773.67,19077.56,19412.07,43710.30467197
229,1664236800,18821.55,20383.15,19226.94,19077.57,51860.03004114
230,1664150400,18681.02,19320.86,18806.3,19228.0,33108.05445715
231,1664064000,18619.88,19184.3,18920.93,18808.61,14499.16320537
232,1663977600,18808.13,19311.4,19286.03,18923.2,17644.76169841
233,1663891200,18529.0,19500.0,19399.93,19286.01,30781.38249694
234,1663804800,18358.63,19521.8,18462.66,19401.25,41006.95212665
235,1663718400,18153.13,19949.97,18876.14,18462.64,44344.46282424
236,1663632000,18722.0,19638.46,19538.31,18876.91,27437.23361358
237,1663545600,18255.0,19689.62,19417.56,19540.38,30961.4463315
238,1663459200,19335.57,20119.08,20113.37,19417.64,16437.90668757
239,1663372800,19748.89,20183.14,19800.26,20113.37,11557.14724341
240,1663286400,19305.0,19890.95,19703.65,19801.04,24863.81492556
241,1663200000,19500.0,20336.42,20227.7,19703.67,21124.30384367
242,1663113600,19625.0,20545.0,20174.78,20227.77,25139.52734416
243,1663027200,19855.0,22800.0,22402.58,20174.78,37351.56014939
244,1662940800,21555.0,22490.05,21830.16,22402.71,28404.49469955
